6.672187	4.472950	1
15.559417	15.344715	0
14.362937	14.014355	0
15.611751	15.224818	0
9.457650	10.155094	1
-0.011859	-0.941307	2
15.559566	16.244202	0
15.227196	15.562336	0
9.887088	11.527405	1
9.369276	9.140614	1
8.465533	7.282865	1
7.463635	6.797542	1
-1.774915	-1.767816	2
-0.385051	0.827873	2
7.539931	6.677973	1
15.809624	16.425569	0
0.886919	0.233037	2
8.711990	7.668705	1
15.899048	15.512719	0
16.715003	17.061883	0
15.589813	14.861043	0
15.118922	13.857149	0
7.411013	6.291059	1
7.118210	6.757902	1
1.208816	1.054794	2
-0.045986	0.848586	2
-0.043030	1.084971	2
7.672587	5.774318	1
8.633421	8.722083	1
13.989218	14.606625	0
16.373689	17.687467	0
17.776691	18.008016	0
7.464128	6.689372	1
-0.194333	-0.703050	2
16.545340	16.329349	0
8.904129	10.881110	1
-0.162259	-1.537331	2
1.582699	1.079430	2
8.686638	10.340125	1
-1.353446	-2.691258	2
7.663909	9.338852	1
-1.099449	-1.174884	2
16.855789	16.088179	0
15.747277	16.046356	0
8.249186	8.573195	1
7.370492	7.366227	1
8.661481	8.725920	1
17.098819	17.283779	0
6.226336	6.853967	1
14.633503	14.253748	0
16.124150	15.093675	0
16.015660	14.897803	0
16.453341	16.685762	0
8.539760	10.419233	1
16.364396	15.088393	0
14.111861	13.766792	0
8.694753	9.183562	1
16.327832	16.767936	0
7.363977	7.699954	1
17.374551	17.464481	0
-2.430185	-2.617953	2
15.457558	15.572937	0
8.745503	7.384543	1
16.150459	16.810887	0
15.789216	14.689921	0
6.753116	8.906990	1
8.246220	7.923263	1
8.447275	9.271217	1
17.083534	15.052843	0
7.836189	9.712075	1
15.273069	15.641331	0
1.907976	2.105667	2
6.974330	4.547750	1
14.434015	12.177342	0
-0.211847	0.202193	2
-0.848639	-1.374503	2
0.914741	0.881424	2
9.388221	11.887404	1
8.764095	9.237398	1
15.424332	15.702156	0
6.413379	5.705125	1
1.728520	0.675054	2
-0.429521	-1.181024	2
